﻿M2341-14_0_0_1,There is a lingering smell of white vinegar...,มีกลิ่นน้ำส้มสายชูขาวจางๆ ที่ไม่จางหายไป...
M2348-8_1_2,"I don't want to go in again, let it fall on its own."
M2348-8_2_1,"In the meantime, I'll see if I can get Shi Heng's attention..."
M2348-8_3_1,Did I just see a person in purple clothes run in?
M2348-8_4_1,The figure looks like my father...
M2348-8_4_2,"This! Me didn't have time to go there, and this gate was closed!"
M2348-8_4_3,Is this person Cai Yuanchang? How did he run up and rush in?
M2348-8_4_4,"(Could it be... after he was absorbed by Me using the Archdemon's Soul Eating Skill, he wanted to imitate Blood Rakshasa's recovery skill?)"
M2348-8_4_5,(Or is he still not giving up on Longevity... he is desperate to go to the Longevity tomb?)
M2348-8_4_6,"(Whether this person masters the demonic skill or Longevity, it will be a disaster for the martial arts world in the future!)"
M2348-8_4_7,"It's just... he's inside now, and the stone door is a thousand pounds heavy... I don't know if he can still come out..."
M2348-8_4_8,I should see how to contact Brother Shi Heng...
M2348-8_5_1,Let me see how to contact Brother Shi Heng...
M2348-8_6_1,"Brother, I'm here!"
M2348-8_6_2,Brother Shi Heng! Where have you been? Are you alone?
M2348-8_6_3,"I have a good news and a bad news to tell you, which one do you want to hear first?"
M2348-8_6_4,I see... I want to hear...
M2348-8_op1_1,Good news.
M2348-8_op1_2,Bad news.
M2348-8_7_1,"The good news is, do you know Ma Qingshan, the HorsePavilion Master? A painter who arrived on the same boat as us.",ข่าวดีคือ หม่าชิงซาน เจ้าสำนักหม่า ท่านรู้จักหรือไม่? จิตรกรที่ร่วมเดินทางมากับพวกเราบนเรือ
M2348-8_7_2,"He and Shen Chenxuan found a safe way to get everyone out of the prison and placed them on the War Constable's ship. Now the ship is docked in a hidden place on the north shore. I came here specially, waiting for my brother to come.",เขากับ ลู่เฉินซวน ค้นพบเส้นทางปลอดภัย ช่วยเหลือเหล่านักโทษจากคุกออกมาได้ทั้งหมด แล้วจัดการให้ขึ้นเรือของ จ้านปู่โถว ตอนนี้เรือจอดซ่อนอยู่ที่ชายฝั่งทิศเหนือ ข้ามาที่นี่โดยเฉพาะ เพื่อรอคอยพี่น้องของข้า
M2348-8_7_3,"Ma Qingshan, the Horse Pavilion Master... and Brother Shen Chenxuan? How did they get together and sneak onto the War Constable's ship?",หม่าชิงซาน เจ้าสำนักหม่าอย่างนั้นหรือ... ยังมีพี่ลู่เฉินซวน อีก? พวกเขาไปรู้จักกันได้อย่างไร แถมยังลอบขึ้นเรือของ จ้านปู่โถว อีกด้วย?!
M2348-8_7_4,"Since you're safe, that's great. What's the bad news you want to tell me?"
M2348-8_7_5,"The bad news is, Blood Rakshasa is about to return. We saw a lot of people from the Penglai Sect going to greet him on the boat."
M2348-8_7_6,"Hmm... Coming back at this time, the timing is acceptable, just after I've solved the problem of the martial tomb..."
M2348-8_7_7,"In a way, it's not a bad thing. If he doesn't come back, I would be worried..."
M2348-8_8_1,"The bad news is, Blood Rakshasa is about to return. We saw a lot of people from the Penglai Sect going to greet him."
M2348-8_8_2,"Hmm... Coming back at this time, the timing is acceptable, just after I've solved the problem of the martial tomb..."
M2348-8_8_3,"In a way, it's not a bad thing. If he doesn't come back, I would be worried..."
M2348-8_8_4,So what's the good news?
M2348-8_8_5,"The good news is, do you know Ma Qingshan, the HorsePavilion Master? A painter who arrived on the same boat as us.",ข่าวดีคือ หม่าชิงซาน เจ้าสำนักหม่า ท่านรู้จักหรือไม่? จิตรกรที่ร่วมเดินทางมากับพวกเราบนเรือ
M2348-8_8_6,"He and Shen Chenxuan found a safe way to get everyone out of the prison and placed them on the War Constable's ship. Now the ship is docked in a hidden place on the north shore. I came here specially, waiting for my brother to come.",เขากับ ลู่เฉินซวน ค้นพบเส้นทางปลอดภัย ช่วยเหลือเหล่านักโทษจากคุกออกมาได้ทั้งหมด แล้วจัดการให้ขึ้นเรือของ จ้านปู่โถว ตอนนี้เรือจอดซ่อนอยู่ที่ชายฝั่งทิศเหนือ ข้ามาที่นี่โดยเฉพาะ เพื่อรอคอยพี่น้องของข้า
M2348-8_8_7,"Ma Qingshan, the Horse Pavilion Master... and Brother Shen Chenxuan? How did they get together and sneak onto the War Constable's ship?",หม่าชิงซาน เจ้าสำนักหม่าอย่างนั้นหรือ... ยังมีพี่ลู่เฉินซวน อีก? พวกเขาไปรู้จักกันได้อย่างไร แถมยังลอบขึ้นเรือของ จ้านปู่โถว อีกด้วย?!
M2348-8_8_8,"Since you're safe, that's great."
M2348-8_9_1,"The Horse Pavilion Master asked me to ask you a question, do you want to take a ride on the boat."
M2348-8_9_2,What do you mean? Does he want to take me away?
M2348-8_9_3,"The Horse Pavilion Master said, he persuaded the War Constable to take a detour with the ship, taking you directly back to the <color=#c44b0e>Penglai Sect Pier</color>, pretending that you are visiting the island as the great hero {PlayerName}.","ท่านเจ้าสำนักหม่ากล่าวว่า เขาจะเกลี้ยกล่อมหัวหน้ามือปราบจ้าน ให้แล่นเรือวนรอบ นำท่านกลับสู่<color=#c44b0e>ท่าเรือสำนักเผิงไหล</color>โดยตรง แสร้งทำราวกับว่าท่านคือจอมยุทธ์ {PlayerName} ผู้ยิ่งใหญ่ที่เดินทางมาเยือนเกาะ"""
M2348-8_9_4,"A Blood Rakshasa who is completely unfamiliar, but a big figure whose reputation in the martial arts world is not inferior to the Eight Saints, is sure to attract his attention."
M2348-8_9_5,"In this way, the mess you make while acting covertly will not be noticed."
M2348-8_9_6,Does he know about Blood Rakshasa... Could it be the War Constable who told him?
M2348-8_9_7,Well... why don't you talk to him directly?
M2348-8_9_8,"Should I get on the boat? It seems that there is nothing to investigate on this island, reappearing might be a good choice, and it's also a good time to chat with the Master of Horse Pavilion..."
M2348-8_op2_1,Don't get on the boat.
M2348-8_op2_2,Get on the boat.
M2348-8_10_1,"In that case, I'll take my leave first and stay away from this place of right and wrong. Brother, take care and we'll meet again if fate allows."
M2348-8_10_2,"Farewell, Brother Shi Heng."
M2348-8_11_1,"Okay, you follow Me to the north, the place Horse Pavilion Master found is quite hidden."
M2348-8_11_2,"You follow Shi Heng to the north of Penglai Island, along the way, you indeed see a large number of corpses abandoned in the valley."
M2348-8_11_3,"After winding through the woods, you see a boat indeed docked in a hidden and dangerous harbor."
M2348-8_11_4,"War Constable, Horse Pavilion Master... Brother Lu is also here."
M2348-8_11_5,"Indeed, you are the hero {PlayerSurName}, when HorsePavilion Master mentioned you, I thought he was mistaken."
M2348-8_11_6,"Hero {PlayerSurName}, did you gain anything from this trip to the island? Did you find those books?"
M2348-8_11_7,"Those books are now hidden by Gongsun Hui, he promised that as long as I help him kill his enemy, he will return those books."
M2348-8_11_8,To kill his enemy... Does he have any difficulties?
M2348-8_11_9,"He does have difficulties, but his story... Let's talk about it after Blood Rakshasa is dead."
M2348-8_11_10,"Hero {PlayerSurName}, I have a favor to ask."
M2348-8_11_11,Go ahead.
M2348-8_11_12,"After you subdue Blood Rakshasa and retrieve those books, please help me arrest Gongsun Hui!"
M2348-8_11_13,"So... you mean, first gain his trust, deceive him to get those books, and then arrest him?"
M2348-8_11_14,"Yes, Gongsun Hui's crimes must be arrested. As for his difficulties, which of the criminals in the Crime Investigation Bureau who committed murder and arson does not have difficulties?"
M2348-8_11_15,……
M2348-8_11_16,I will consider it carefully.
M2348-8_11_17,"Young hero {PlayerSurName}, I wanted to paint a scene of many ships welcoming Blood Rakshasa when I saw the scene. Unfortunately, for the sake of concealment, I couldn't find a good angle, what a pity, what a pity."
M2348-8_11_18,"After the martial arts competition, I wandered around, and the HorsePavilion Master suddenly sought me out, hiring me to protect him."
M2348-8_11_19,"I originally wanted to compete and go to the main hall to have a look, but following HorsePavilion Master through the mountains and forests, I saw another side of this island and this faction, these villains... It's really eye-opening."
M2348-8_11_20,"Master of Horse Pavilion, shall we speak frankly? You knew about Blood Rakshasa early on, and you came to investigate him, right?"
M2348-8_11_21,"Alas, this is just an incidental task. My real goal is to paint a good painting. However, someone insisted that I change my route here."
M2348-8_11_22,Who is this person you're talking about...?
M2348-8_11_23,"He's an acquaintance of yours. He was also invited, but he didn't want to come, so he asked me to come. Normally, this kind of thing is handled by someone with the surname Lu, but this time I don't know what excuse he found to dump this task on me."
M2348-8_11_24,"Forget it, I won't ask anymore, I can't stand you people's secretive nature."
M2348-8_11_25,"Blood Rakshasa is rushing here in a hurry, and even though you want to act covertly, you still caused some trouble."
M2348-8_11_26,"When Blood Rakshasa came out of seclusion, he saw that the whole sect was in chaos. The island that was not in charge of logistics was in chaos. Now that he's back from the logistics island, how could he not carefully check all aspects?"
M2348-8_11_27,"But if the famous martial artist {PlayerName} suddenly wants to come to the island and just sits in the main hall waiting for him, these things that need to be checked are all secondary matters, aren't they?"
M2348-8_11_28,"You make a good point, I'll consider it carefully..."
M2348-8_11_29,"The boat sailed a long way around to the south of the island. Hero {PlayerName}, it's your turn to take the stage."
M2342-0_1_1,"Cough cough, listen, unless the Sect Leader personally invites..."
M2342-0_1_2,"Stop, don't talk nonsense, I..."
M2342-0_op1_1,Reveal your identity as Jianghu Master.
M2342-0_op1_2,Reveal your identity as Jianghu Conqueror.
M2342-0_op1_3,Reveal your identity as Peak of Jianghu.
M2342-0_op1_4,I'm in a hurry.
M2342-0_2_1,"I'm humble, I'm the Jianghu Master."
M2342-0_2_2,"So you are the current Jianghu Master! Make way, make way, welcome Jianghu Master!"
M2342-0_3_1,"Good question! I give you two choices, the first, is to bow your head obediently and call me ""Jianghu Conqueror""."
M2342-0_3_2,The second is to raise your head and see where in this main gate is suitable for hanging your corpse.
M2342-0_3_3,"Martial... Jianghu Conqueror, please come in."
M2342-0_4_1,Ah--
M2342-0_4_2,Ah--
M2342-0_4_3,"What do you think, isn't this tree very tall?"
M2342-0_4_4,Tall... very tall...
M2342-0_4_5,Isn't the view particularly great?
M2342-0_4_6,"Yes, it's great..."
M2342-0_4_7,"Now you know who I am, right?"
M2342-0_4_8,"You... you are the current Peak of Jianghu, please come in, please come in..."
M2342-0_5_1,"I have urgent matters and don't want to waste time on you, but you can try to stop me."
M2342-0_5_2,You... you dare!
M2342-0_5_3,It seems that I can't afford to provoke... Forget it...
M2342-2_1_1,The gate of the Martial Tomb is tightly closed... I think the most likely place for him to come is here...
M2342-2_1_2,"What if he opened the door himself, ran in and then closed the door?"
M2342-2_1_3,"Well... anyway, I've looked everywhere else, either he left the island, or he's inside, I have to go in and look."
M2342-2_1_4,"Although I don't hold out hope, I'll still see if there's a way to open the door on this stele..."
M2342-2_1_5,"Wait, there are some more annotations on the words of the great hero here... they're newly engraved!",ช้าก่อน ตรงนี้อักษรของท่านจอมยุทธ์ผู้ยิ่งใหญ่มีคำอธิบายเพิ่มเติม... เป็นรอยสลักใหม่!
M2342-2_1_6,"Who engraved it? It couldn't be Gongsun Hui, could it?"
M2342-2_1_7,Let me read it carefully...
M2342-2_1_8,"This content is... annotations on the engraved content of the ""Observing Heart Sutra""!"
M2342-2_1_9,"Clearly there are only two words ""Martial Tomb"", but because of the spacing structure of the words, the ingenious use of the strokes, it can contain so much information!"
M2342-2_1_10,The calligraphy of the great hero is so strong!,ความเชี่ยวชาญด้านอักษรของท่านจอมยุทธ์ผู้ยิ่งใหญ่สูงส่งเพียงนี้เชียวหรือ!
M2342-2_1_11,Brother Gongsun Hui even left a message in a way that only we can understand...
M2342-2_1_11a,"""Hahaha. If you can understand these notes, you must be {PlayerName}'s brother..."""
M2342-2_1_11b,"""Although we haven't known each other for long, I'm really happy to meet another me in the world..."""
M2342-2_1_12,"Hahaha! If you can understand these annotations, you must be Brother {PlayerName}!"
M2342-2_1_13,"Although we haven't known each other for a long time, I'm really happy to meet another me in the world!"
M2342-2_1_14,"I've vowed to become a hero in my life! My greatest wish is to help others when I see injustice, and to be a hero praised by everyone!"
M2342-2_1_15,"Unfortunately, because of my many misfortunes in life, I can't become a hero in this life! But seeing that you are a hero, I'm really happy for you!"
M2342-2_1_16,"I'm leaving! Before I leave, I tried my best to leave you a gift, go in quickly!"
M2342-2_1_17,Go and check out the four Martial Tombs!
M2342-2_1_18,Why is there such pure joy in Gongsun Hui's message? Is it because he is very happy from the bottom of his heart after avenging his great enemy?
M2342-2_1_19,He told me how to open the stone door through the annotations...
M2342-2_1_20,The door is open!
M2342-2_1_21,Am I ready to go in?
M2342-2_op1_1,"Ready, let's go in!"
M2342-2_op1_2,"Not ready, I'll go in later."
M2342-2_2_1,Gongsun Hui's message told me to go and see the four Martial Tombs... then I'll go and see.
M2342-2_4_1,Am I ready to go in?
M2342-3_0_1,There are also new annotations on this stele! I can enter the illusion battle and learn by myself without Gongsun Hui!
M2342-3_0_2,"It's a rare opportunity, should I enter the illusion to learn?"
M2342-3_op1_1,Challenge the illusion!
M2342-3_op1_2,Don't challenge.
M2342-3_1_1,"It doesn't consume Stamina, and it doesn't take much time... win or lose, there are gains, it's really good!"
M2342-4_1_1,"Uh, although Gongsun Hui has made up for all the mistakes, I didn't successfully comprehend the martial tomb before, so naturally I can't understand the true meaning in it!"
M2342-4_1_2,"In that case, I have to try again!"
M2342-4_2_1,"Damn it, it's already the supplemented and annotated version of Gongsun Hui, it's already half simpler, can't I still understand it?"
M2342-4_2_2,"If it really doesn't work, forget it... If I don't have the talent for Taoism, I just won't learn."
M2342-4_3_1,"No, the true teachings of the great hero are here, how could I give up?",มิได้! เคล็ดวิชาแท้จริงของท่านจอมยุทธ์ผู้ยิ่งใหญ่อยู่ตรงนี้ ข้าจะยอมละทิ้งได้อย่างไร?
M2342-4_4_1,"I have passed the trial of Yin and Yang Heart Demon, and now fully comprehend this Sword Tomb, realizing how wonderful the great hero's understanding was!",ข้าได้ผ่านการทดสอบจิตมารหยินหยางแล้ว บัดนี้เมื่อได้สัมผัสวิชาสุสานยุทธ์ฉบับสมบูรณ์ ข้าจึงได้รู้ว่าการบรรลุของท่านจอมยุทธ์ผู้ยิ่งใหญ่นั้นช่างลึกล้ำเพียงใด!
M2342-4_4_2,"The great hero has broken through all the internal skills in the world, I have realized this subtlety, and the enemy's Yin and Yang internal skills can be used by me!",ท่านจอมยุทธ์ผู้ยิ่งใหญ่ช่างล่วงรู้เคล็ดวิชาทั่วหล้า ข้าเข้าใจถึงความลึกล้ำนี้แล้ว พลังภายในหยินหยางของศัตรูล้วนสามารถนำมาใช้ประโยชน์ได้!
M2342-4_5_1,Ha! I knew you would come!
M2342-4_5_2,"Actually, I need your help, but before that, I have something to tell you."
M2342-4_5_3,"Actually, when you were comprehending the martial tomb before, I was jealous of you for having the innate ability to observe the heart, so I hid the most crucial part of the martial tomb when explaining..."
M2342-4_5_4,"So you only understood the surface, and did not comprehend the true meaning of the great hero's martial tomb.",ดังนั้นเจ้าจึงเข้าใจเพียงเปลือกนอก มิได้เข้าถึงแก่นแท้แห่งสุสานยุทธ์ของท่านจอมยุทธ์ผู้ยิ่งใหญ่เลย
M2342-4_5_5,"So that's it! I just felt that the true meaning of the Sword Tomb was not fully explained, it turns out that many parts were obscured by you!"
M2342-4_5_6,"But don't worry! Before I left, I corrected all the mistakes in the four martial tombs and added notes! Try to comprehend it again, and you will learn everything!"
M2342-4_5_7,"Sigh... My jealousy towards you and the ""Observing Heart Scripture"" actually have a great connection..."
M2342-4_5_8,"Do you know? On the day Blood Rakshasa committed the crime, I waited for a long time before I crawled out of the wall in a panic, rode my grandfather's horse, and fled blindly."
M2342-4_5_9,"Although my grandfather's horse helped me avoid Blood Rakshasa and his men, I was new to the world and encountered human traffickers..."
M2342-4_5_10,"At that time, I was tied up in a horse cart. Taking advantage of the slavers' sleep, I used my teeth to pull out the ""Observing Heart Scripture"" from my chest, spat it on the ground, and learned the martial arts on it by the moonlight."
M2342-4_5_11,This book is indeed very effective. It only took me one and a half shichen to learn a set of internal skills.
M2342-4_5_12,"While the human traffickers were still asleep, I broke free from the ropes and strangled the two human traffickers. They didn't learn any martial arts, and their struggle was no match for me."
M2342-4_5_13,"I returned to the place where I was captured and found my horse. Just as I was about to continue my escape, I heard that the news of my family's misfortune had reached here."
M2342-4_5_14,"After the disaster at my home, the government failed to catch the murderer. But they took all the family property, and the rest was divided by the neighbors. Only a coroner collected the bodies for my parents and grandfather."
M2342-4_5_15,"I sneaked back home, and the coroner gave me the urns of my parents and grandfather. I poured out the ashes, cleaned the urns, and sold them for money."
M2342-4_5_16,……
M2342-4_5_17,"Later, I realized what I had done. I was amazed at myself at that time, as if it was not me."
M2342-4_5_18,"My only remedy was to buy a cheap jade pendant at a stall, deceiving myself that it was my parents' relic, carrying it with me, so that I could slightly calm my conscience."
M2342-4_5_19,I am such a hypocritical and ridiculous beast.
M2342-4_5_20,"Sold the urn of my parents and grandfather's ashes? I've lived for more than a decade, and I can't imagine this is something a human would do..."
M2342-4_5_21,"Could this be caused by the ""Observing Heart Scripture""?"
M2342-4_6_1,Hahaha! You're still here!
M2342-4_6_2,"Do you know? Although I encountered a disaster, my journey was rough, but beyond the roughness, I still had some happy days!"
M2342-4_6_3,"During my wandering days, I met a brother who was also wandering! His name is Dashan, because his parents were killed by the Yan army, he had to wander."
M2342-4_6_4,"A lady who runs a martial arts gym adopted us two! She provided me with food and clothing, and also taught me martial arts!"
M2342-4_6_5,"She also has a daughter, about the same age as me! Her name is Xiaoyu, she was so good to me! During that time, even though I could see her every day, I still often dreamed of her!"
M2342-4_6_6,"Although Dashan joined a small sect a year later, that time was the only happy time besides when my parents and grandfather were still alive!"
M2342-4_6_7,"But about three years later, the villain came back, and I recognized him at a glance."
M2342-4_6_8,"He was the one who followed Blood Rakshasa to my house, the one who killed my parents after Blood Rakshasa had his way."
M2342-4_6_9,"That night, I ran to the river outside the city and took out the ""Heart Observation Scripture"" that I had never touched again."
M2342-4_6_10,"When I returned to the martial arts school, they were waiting for me to come back for dinner."
M2342-4_6_11,"I first killed the uncle with a single slash, from shoulder to ribs."
M2342-4_6_12,"Then I cut off the aunt's stick, and her neck."
M2342-4_6_13,Finally caught up and stabbed the little fish in the back.
M2342-4_6_14,"During this process, I felt nothing. For the next few months, I never thought of them, the death of the old lady and the little fish, like a drop of water disappearing into the water."
M2342-4_6_15,"But one day when I woke up, the bloody faces of the old lady and the little fish suddenly appeared before my eyes, staring at me."
M2342-4_6_16,"No matter if I look at my hand, look in the mirror, or stare at the sun, they are always blocking my view."
M2342-4_6_17,"Then I had nightmares continuously, until I practiced the ""True Scripture of Observing the Heart"" today, and finally got rid of the nightmare."
M2342-4_6_18,"I first cried for a month, was scared for a month, and then I started to hate them."
M2342-4_6_19,"I told myself, I did nothing wrong! I did nothing wrong! If the disaster does not affect their descendants, why did they want to kill my whole family in the first place?"
M2342-4_6_20,"But since then, I dare not touch the ""True Scripture of Observing the Heart"" anymore."
M2342-4_6_21,"I can't say that Gongsun Hui's actions were wrong at the time, I can only say that the world is so cruel..."
M2342-4_7_1,"Actually, I treated you as a brother! After all, in this world, only you and I understand the Heart Observation!"
M2342-4_7_2,"Speaking of brothers, I met my brother Dasha many years later! Do you know how happy I was! He is the only one who truly cares about me after the aunt and the little fish!"
M2342-4_7_3,"Do you know where? It's on Penglai Island, in the martial tomb!"
M2342-4_7_4,"The small sect he joined was incorporated by Blood Rakshasa! Arranged on Penglai Island! When I sneaked in, I was so happy when I found him!"
M2342-4_7_5,"I told him about my life and hatred, and he immediately forgot about the horror of Blood Rakshasa and wanted to help me sneak into the martial tomb!"
M2342-4_7_6,"Without his help, I couldn't get in by myself!"
M2342-4_7_7,"Later, the two of us sneaked in! He couldn't understand the martial tomb and the stele, but I found that the principles in it were the same as the ""Heart Observation Scripture""!"
M2342-4_7_8,"I picked up the ""Heart Observation Scripture"" and understood a lot of the true meaning of the martial tomb! Dasha was also very happy, and promised to teach him these, and then he would help me take revenge!"
M2342-4_7_9,"Unfortunately, I didn't have time to finish reading it all, and I heard a noise at the stone door. It turned out that Penglai Island found that the martial tomb was invaded, and Blood Rakshasa himself came directly!"
M2342-4_7_10,I was not Blood Rakshasa's opponent at the time... but fortunately I knew where to escape!
M2342-4_7_11,"But escaping from the martial tomb does not mean escaping from Penglai Island, because Penglai Island is now undergoing a full search."
M2342-4_7_12,"The best way is to let the invaders be caught, so that the search can be stopped. Then I can escape from Penglai Island."
M2342-4_7_13,"And Dasha is the most suitable, because I believe he will not betray me, and he also believes that I will not abandon him."
M2342-4_7_14,"So I didn't tell Dashan how to escape, I just hid and watched him in the dark, being killed by Blood Rakshasa, and then escaped from the Martial Tomb."
M2342-4_7_15,"Since then, I have accepted that I am a person who is unkind, unrighteous, disloyal, and unfilial. I no longer resist the ""Heart Observation Scripture"" and start to learn without hesitation."
M2342-4_7_16,"I didn't expect Gongsun Hui... to be ruined by the ""Heart Observation Scripture""..."
M2342-4_7_17,So why would the current Gongsun Hui leave these messages for me?
M2342-4_8_1,Thank you for listening to this point! This is the last part of my story!
M2342-4_8_2,"To be honest! I really can't bear to leave you! Can't bear to leave here! But I have to go, I can't hold on anymore!"
M2342-4_8_3,"Do Me hate Blood Rakshasa? That's a thing of the past. Me don't hate him, but want to kill him, just because Me remember that I should take revenge."
M2342-4_8_4,"Later, I started to be unscrupulous, these methods surprised me! I chose Penglai Sect, and let them be exterminated!"
M2342-4_8_5,"Me caused trouble at the Sword Discussion Conference, causing many people who were very good to Me to fight each other!"
M2342-4_8_6,"Me attracted all the eight saints to the island, hoping to learn their skills quickly!"
M2342-4_8_7,Quick learning... skills? Is it the knife of the demonic skill?
M2342-4_8_8,You guessed it! The knife of the magic skill is actually in my hand!
M2342-4_8_9,"When you see these words, Me should have successfully taken revenge, and learned their lifelong Martial Arts without anyone noticing!"
M2342-4_8_10,"I have found a new goal after revenge! That is to become the Jianghu Conqueror! As long as I kill the Sect Leader on the island, and you, the obstacles on the road to becoming the Jianghu Conqueror will be cleared!"
M2342-4_8_11,"And the plan of Blood Rakshasa just gathers you all here, it's a godsend!"
M2342-4_8_12,"Do you know? Just now, I was in the Martial Tomb, and when I knew you had a natural heart-watching eye, I was so happy because you could help me take revenge!"
M2342-4_8_13,"In addition to the hatred of Blood Rakshasa, I have a deep hatred! You must help me!"
M2342-4_8_14,"If you listen to my four stories, you already know how to open the Magic Martial Tomb!"
M2342-4_8_15,Please enter the Magic Martial Tomb.
M2342-4_8_16,Kill Gongsun Hui.
M2342-4_8_17,"For the aunt, for the little fish, for the big mountain, for the entire Penglai Sect, and..."
M2342-4_8_18,Take revenge for me.
M2342-4_8_19,The one who left me a message... was it the young Gongsun Hui who was killed when Gongsun Hui learned magic skills?
M2342-4_8_20,"My original wish was always to be a hero, a hero who would help when seeing injustice, never to kill other Sect Leaders and become the Jianghu Conqueror!"
M2342-4_8_21,"Jianghu Conqueror is not his end... If he becomes Jianghu Conqueror, the entire martial arts world will be devastated!"
M2342-4_8_22,"For the sake of me helping you comprehend... brother, avenge me..."
M2342-4_8_23,"No... I have to... keep going, I have to leave a message... on the stone tablet outside the Martial Tomb..."
M2342-5_2_1,"Uh, although Gongsun Hui has made up for all the mistakes, I didn't successfully comprehend the martial tomb before, so naturally I can't understand the true meaning in it!"
M2342-5_2_2,"In that case, I have to try again!"
M2342-5_3_1,"Damn it, it's already the supplemented and annotated version of Gongsun Hui, it's already half simpler, can't I still understand it?"
M2342-5_3_2,"If it really doesn't work, forget it... If I don't have the qualifications for Buddhism, I just won't learn it."
M2342-5_4_1,"I had already defeated the three poisons of greed, anger, and ignorance in my heart. Looking at this unaltered true meaning, I realized the depth of the great hero's understanding of Buddhism.",ข้าได้กำจัดจิตมารที่เกิดจากกิเลสทั้งสามไปแล้ว บัดนี้เมื่อได้เห็นสัจธรรมอันแท้จริงโดยมิมีสิ่งใดเจือปน ข้าจึงเข้าใจถึงความแตกฉานในพระธรรมของจอมยุทธ์ผู้ยิ่งใหญ่ผู้นี้
M2342-5_4_2,"""The door of emptiness refuses to come out, throwing through the window is too foolish. When will you come out after drilling the old paper for a hundred years?"""
M2342-5_4_3,"I have been learning martial arts all the way, and I never figured out how to defend. The great hero entered martial arts with Zen, and summarized a set of defensive skills that return to the original from Zen, which is enlightening!",ข้าฝึกวิชามาโดยตลอด แต่กลับไม่เข้าใจวิธีการป้องกัน ท่านจอมยุทธ์ผู้ยิ่งใหญ่ใช้วิถีแห่งเซนผสานเข้ากับวิถีแห่งบู๊ รวบรวมเคล็ดวิชาป้องกันที่คืนสู่ความเรียบง่ายจากเซน ทำให้ข้ากระจ่างแจ้ง!
M2342-5_5_1,"No, the true teachings of the great hero are here, how could I give up?",มิได้! เคล็ดวิชาแท้จริงของท่านจอมยุทธ์ผู้ยิ่งใหญ่อยู่ตรงนี้ ข้าจะยอมละทิ้งได้อย่างไร?
M2342-5_6_1,"I have defeated the three poisons of greed, anger, and ignorance in my heart. Looking at this unaltered true meaning, I realized the depth of the great hero's understanding of Buddhism.",ข้าได้ขจัดพิษร้ายแห่งกิเลสทั้งสามไปแล้ว บัดนี้เมื่อได้เห็นสัจธรรมอันแท้จริงโดยมิมีสิ่งใดเจือปน ข้าจึงเข้าใจถึงความแตกฉานในพระธรรมของจอมยุทธ์ผู้ยิ่งใหญ่ผู้นี้
M2342-5_6_2,"""The door of emptiness refuses to come out, throwing through the window is too foolish. When will you come out after drilling the old paper for a hundred years?"""
M2342-5_6_3,"The great hero uses Zen to enter martial arts, and summarizes a set of defensive skills that return to the basics from Zen, which is enlightening!",ท่านจอมยุทธ์ผู้ยิ่งใหญ่ใช้วิถีแห่งเซนสู่การต่อสู้ สรุปเคล็ดวิชาป้องกันที่คืนสู่ความเรียบง่ายจากเซน ทำให้ข้ากระจ่างแจ้ง!
M2342-6_3_1,"Uh, although Gongsun Hui has made up for all the mistakes, I didn't successfully comprehend the martial tomb before, so naturally I can't understand the true meaning in it!"
M2342-6_3_2,"In that case, I have to try again!"
M2342-6_4_1,"Damn it, it's already the supplemented and annotated version of Gongsun Hui, it's already half simpler, can't I still understand it?"
M2342-6_4_2,"If it really doesn't work, forget it... If I don't have the qualifications for Confucianism, I just won't learn it."
M2342-6_5_1,"I had already answered the great hero's question about the nature of heaven and human desires. However, Gongsun Hui altered the key sentences, causing my understanding to remain only in Confucianism itself.",ก่อนหน้านี้ข้าได้ตอบคำถามของท่านจอมยุทธ์ผู้ยิ่งใหญ่เกี่ยวกับสัจธรรมแห่งฟ้าและปรารถนาแห่งมนุษย์ไปแล้ว เพียงแต่กงซุนฮุ่ยได้แก้ไขถ้อยคำสำคัญ ทำให้ความเข้าใจของข้าหยุดอยู่แค่ในขอบเขตของปรัชญาขงจื๊อเท่านั้น
M2342-6_5_2,"Now that I have read the unaltered parts, I realize that this not only asks about moral norms, but also about the conflict and balance between Martial Arts routines and the relaxation of the body and arms."
M2342-6_5_3,"When I find balance, I can incorporate the righteousness in my heart into my Dantian Qi Sea!"
M2342-6_6_1,"No, the true teachings of the great hero are here, how could I give up?",มิได้! เคล็ดวิชาแท้จริงของท่านจอมยุทธ์ผู้ยิ่งใหญ่อยู่ตรงนี้ ข้าจะยอมละทิ้งได้อย่างไร?
M2342-6_7_1,"Now Me finally answered the great hero's question about the law of heaven and human desire. If Me only look at the version edited by Gongsun Hui, Me's understanding will only stay in Confucianism itself.",บัดนี้ข้าได้ตอบคำถามของท่านจอมยุทธ์ผู้ยิ่งใหญ่เกี่ยวกับสัจธรรมแห่งฟ้าและปรารถนาแห่งมนุษย์ไปแล้ว หากดูเพียงฉบับที่กงซุนฮุ่ยแก้ไข ความเข้าใจของข้าคงหยุดอยู่แค่ในขอบเขตของปรัชญาขงจื๊อเท่านั้น
